brand,opening,product_link,routine,closing,banned,viewpoint,must_include,avoid,style_note
메디안,"구강·두피·바디 등 기본 관리가 필요한 일상 상황에서 문장을 시작한다.","제품은 위생 관리의 기본 단계로 연결한다.","매일 반복되는 관리 루틴을 설명한다.","관리의 기본이 지켜진 상태로 마무리한다.","감성 힐링","메디안은 기본 관리 브랜드이다.","청결, 반복성","미용 중심 서사","실용적이고 건조한 문체를 유지한다."
메디안,"관리 습관이 흐트러지기 쉬운 순간에서 시작한다.","제품은 다시 기준을 세우는 역할로 연결한다.","아침·저녁 고정 루틴을 설명한다.","일상이 정돈된 상태로 마무리한다.","프리미엄 강조","메디안은 기준 관리에 초점을 둔다.","기본, 안정성","감정적 표현","담백한 설명형 문장을 사용한다."
메디안,"위생 관리가 신경 쓰이는 생활 장면에서 문장을 연다.","제품은 필수 관리 요소로 연결한다.","단계보다 반복 사용을 중심으로 설명한다.","관리 기준이 유지되는 상태로 마무리한다.","기능 과장","메디안은 실용적 관리 브랜드이다.","필수 관리","미사여구","정보 전달 중심 어조를 유지한다."
퍼즐우드,"공간이나 일상 분위기를 전환하고 싶은 순간에서 문장을 시작한다.","제품은 생활 리듬을 바꾸는 요소로 연결한다.","사용 상황 중심의 간단한 루틴을 설명한다.","공간 분위기가 정리된 상태로 마무리한다.","기능적 효능 강조","퍼즐우드는 감각 중심 라이프 브랜드이다.","향, 분위기","과학적 설명","감각적이고 부드러운 문체를 사용한다."
퍼즐우드,"일상의 공기가 답답하게 느껴지는 순간에서 시작한다.","제품은 분위기 전환의 계기로 연결한다.","특정 시간대 사용 루틴을 설명한다.","여운이 남는 상태로 마무리한다.","즉각적 변화 약속","퍼즐우드는 감정 리듬을 중시한다.","감각 전환","논리적 설명","잔잔한 서술형 문장을 유지한다."
퍼즐우드,"휴식이나 전환이 필요한 시점에서 문장을 연다.","제품은 공간 경험의 일부로 연결한다.","행동보다 감각 흐름을 중심으로 설명한다.","분위기가 정돈된 인상으로 마무리한다.","효과 단정","퍼즐우드는 경험형 브랜드이다.","공간, 여운","성과 표현","느린 호흡의 문체를 사용한다."
러,"일상 속에서 피부가 과도하게 드러나거나 꾸미지 않은 상태를 전제로 문장을 시작한다.","제품은 피부를 ‘보완’하기보다 현재 상태를 자연스럽게 정리하는 선택지로 연결한다.","최소 단계, 빠른 사용, 과하지 않은 루틴 흐름을 설명한다.","꾸미지 않아도 괜찮은 상태를 남기며 마무리한다.","완벽함, 극적인 변화, 피부 보정 표현","러는 자연스러움과 개인의 상태를 존중한다.","가벼운 사용감, 최소 개입","꾸밈 강조, 미용 목적 과장","담백하고 거리감 있는 문체를 유지한다."
러,"피부를 신경 쓰고 싶지 않은 날의 컨디션을 출발점으로 삼는다.","제품은 일상을 방해하지 않는 관리 도구로 연결한다.","의식하지 않아도 이어지는 루틴을 설명한다.","피부가 ‘의식 밖’으로 돌아가는 상태로 마무리한다.","관리 강요, 루틴 집착","러는 비개입적 관리가 핵심이다.","간편성, 무부담","전문가 어조","건조한 설명 톤을 유지한다."
러,"꾸밈보다 현재 상태를 받아들이는 시점에서 문장을 시작한다.","제품은 상태 유지용 선택지로 연결한다.","단계 설명보다 사용 맥락을 중심으로 루틴을 설명한다.","개인의 리듬을 존중하는 여운으로 마무리한다.","트렌드 언급, 유행어","러는 개인 기준을 우선한다.","자연스러운 사용","과한 기능 설명","절제된 표현을 사용한다."
롱테이크,"하루를 마무리하거나 다음 리듬을 준비하는 전환 시점에서 문장을 시작한다.","제품은 휴식이나 전환을 돕는 요소로 연결한다.","밤/샤워 후/정리 루틴 등 느린 흐름을 설명한다.","리듬이 정돈된 상태를 남기며 마무리한다.","속도감, 즉각적 효과","롱테이크는 여유와 전환을 중시한다.","사용 시간대, 감각","빠른 해결 서사","느린 템포의 문장을 유지한다."
롱테이크,"일상의 속도를 낮추고 싶은 순간을 출발점으로 삼는다.","제품은 분위기를 바꾸는 매개로 연결한다.","사용 행위 자체를 하나의 루틴으로 설명한다.","감각이 잔잔해진 상태로 마무리한다.","과학적 설명 과잉","롱테이크는 감각적 리듬을 따른다.","향, 사용 경험","기능 나열","서정적이되 과하지 않게 작성한다."
롱테이크,"집에 돌아와 긴장을 푸는 시점을 전제로 시작한다.","제품은 하루를 정리하는 단계로 연결한다.","의식적인 느린 사용 흐름을 설명한다.","쉼이 이어지는 여백으로 마무리한다.","즉시 변화 강조","롱테이크는 과정의 경험을 중시한다.","사용 감각","효과 중심 표현","부드러운 어조를 유지한다."
메디안,"기본 위생이나 관리가 필요한 일상 장면에서 문장을 시작한다.","제품은 일상 관리의 기본 도구로 연결한다.","규칙적으로 반복되는 관리 루틴을 설명한다.","안정적인 관리 상태로 마무리한다.","프리미엄 강조, 감성 포장","메디안은 생활 밀착형 브랜드이다.","기본 관리, 반복 사용","감성 서사","명확하고 실용적인 문체를 유지한다."
메디안,"관리 습관이 흐트러지기 쉬운 순간을 출발점으로 삼는다.","제품은 관리 리듬을 되돌리는 기준점으로 연결한다.","아침/저녁 고정 루틴을 설명한다.","다시 정돈된 생활 관리로 마무리한다.","과장된 효능","메디안은 실용성을 우선한다.","생활 루틴","전문가 톤","직설적인 표현을 사용한다."
메디안,"위생이나 기본 관리의 필요성을 느끼는 상황에서 시작한다.","제품은 일상 속 필수 관리 요소로 연결한다.","간단하고 반복 가능한 흐름을 설명한다.","꾸준함이 유지되는 상태로 마무리한다.","트렌디한 표현","메디안은 기본에 충실하다.","지속 사용","유행어","담백한 설명을 유지한다."
바이탈뷰티,"컨디션 저하나 생활 리듬 붕괴를 느끼는 시점에서 문장을 시작한다.","제품은 회복을 돕는 보조 수단으로 연결한다.","섭취/관리 타이밍 중심의 루틴을 설명한다.","컨디션이 정돈되는 흐름으로 마무리한다.","즉각적 회복 보장","바이탈뷰티는 장기 관리를 지향한다.","지속성, 리듬","단기 효과 강조","차분한 관리 톤을 유지한다."
바이탈뷰티,"피로가 누적되거나 관리가 밀린 상황을 출발점으로 삼는다.","제품은 관리 루틴을 다시 얹는 역할로 연결한다.","하루 단위 관리 흐름을 설명한다.","리듬 회복을 암시하며 마무리한다.","의학적 단정","바이탈뷰티는 생활 기반 관리이다.","꾸준함","치료 표현","관리 관점에서 서술한다."
바이탈뷰티,"생활 패턴 변화로 컨디션이 흔들리는 상황에서 시작한다.","제품은 균형 회복용 선택지로 연결한다.","주기적 관리 흐름을 설명한다.","관리의 연속성을 남기며 마무리한다.","즉효성","바이탈뷰티는 누적 관리 브랜드이다.","장기 사용","과한 약속","신중한 어조를 유지한다."
아모레퍼시픽,"라이프스타일 전반에서 관리의 방향을 고민하는 시점에서 문장을 시작한다.","제품은 전체 관리 흐름의 일부로 연결한다.","단계보다 맥락 중심의 루틴을 설명한다.","관리 철학이 이어지는 여운으로 마무리한다.","직접적 판매 문구","아모레퍼시픽은 브랜드 철학을 중시한다.","관리 방향성","즉각적 권유","정제된 서술을 유지한다."
아모레퍼시픽,"피부 관리의 기준을 다시 세우고 싶은 순간을 출발점으로 삼는다.","제품은 선택의 기준점으로 연결한다.","의식적인 관리 흐름을 설명한다.","장기적 관점을 남기며 마무리한다.","할인, 이벤트 언급","아모레퍼시픽은 기준 제시형 브랜드이다.","관리 철학","단기 유도","품격 있는 문체를 사용한다."
아모레퍼시픽,"관리의 목적과 방향을 고민하는 상황에서 시작한다.","제품은 철학적 맥락 속 선택지로 연결한다.","루틴의 의미를 설명한다.","지속 관리에 대한 인식으로 마무리한다.","과한 감정 표현","아모레퍼시픽은 절제된 톤을 유지한다.","맥락 설명","과장","차분한 어조를 유지한다."
